width,length,x,Vmax
841,1189,161.86694,72447247.43966
594,841,114.38197,25577030.81712
420,594,80.84658,9027960.83783
297,420,57.16802,3191907.18697
210,297,40.42307,1128495.10468
148,210,28.51964,396805.65037
825,720,127.86098,33794078.01242
972,121,29.24930,1669992.18818
720,204,46.87379,3236440.43121
511,516,85.58014,10029156.62291
181,370,38.42403,1173175.67361
566,963,115.12452,28323146.03931
898,545,109.90096,24238515.33774
946,388,85.05696,14379285.36238
581,879,114.28727,26197669.97507
458, 77,18.37199,311553.87397
697,798,123.73321,30621906.98191
744,324,70.31516,7779648.56950
393,435,68.73402,5225773.64475
182,452,40.01503,1517760.18273
434,548,80.19529,8504998.29274
304, 54,12.84640,101205.19265
972,919,157.39768,62500429.78548
905,916,151.74161,55907545.43811
667, 69,16.78047,376696.12663
698,624,109.64999,21242482.43850
672, 88,21.23199,608648.21711
599,141,32.92931,1319180.39733
879,399,85.94775,13802058.14656
749, 76,18.49324,513708.06318
411,284,55.08478,2880575.26817
173,327,36.10812,927186.66393
343,210,42.24452,1370663.95376
460, 96,22.61571,476223.79627
433,797,89.81923,14049135.08525
579,676,103.65022,18057466.63363
874,472,98.04740,18338547.41994
536,503,86.45227,10361837.35556
831,375,80.86559,11542282.99185
269,853,61.11272,6554896.23208
156,902,37.16628,2512198.24088
417,280,54.80935,2870476.67527
  5, 26,1.18076,73.64360
 96,528,22.80871,554335.56459
142,487,32.53381,1056056.00272
119,632,28.21623,1016118.50355
380,520,72.32530,6389090.87249
327,692,69.90142,7225691.61887
928,147,35.17806,2312364.85726
715,861,129.65331,35549341.57699
299, 69,16.13871,158074.48907
548,833,107.95216,22123155.34198
476,293,58.85298,3696367.91982
271,494,56.08495,3401334.21339
493,127,29.44003,870607.16955
607,651,104.64102,18383247.11740
535,707,100.56406,16984907.26238
229,184,33.80876,634999.28302
 45,518,10.99482,125488.02513
506,954,105.55040,23124021.71589
531,829,105.44558,20863684.29164
 94,956,22.89360,1004660.62895
929, 71,17.39772,563238.70465
382,422,66.75151,4785457.68981
699,208,47.55495,3241973.77255
331,292,51.61213,2219245.92004
249,575,54.09139,3555746.37529
464, 72,17.24679,277832.82044
295,512,60.31369,4116087.81900
936,658,126.90499,34992070.99897
214,318,41.86064,1277650.85346
509,816,101.85692,19039349.17201
257,485,53.62106,3033462.36339
791,930,142.02005,46508124.70485
444,646,86.26854,11087890.71154
159,257,31.89155,586725.24544
250,223,39.22415,972683.99689
604,736,110.05284,21795843.81234
623,485,90.20916,12160399.68998
360,541,70.66790,6175826.96480
519,415,76.39885,7335747.69690
604,297,62.98265,5149494.30971
959,927,157.09873,62075463.42665
 98,143,19.05852,119700.88656
943,790,142.73786,47351424.31705
979,903,156.45009,61495114.68454
151,146,24.73895,242420.09529
520,912,106.59925,22854170.14467
648,721,113.59768,23605062.15070
527,383,73.03639,6591682.26103
846,977,150.74441,55447319.86829
477, 52,12.62603,152564.44661
319,135,29.44199,582921.84756
728,514,98.98908,16580520.15121
 80,165,17.01344,102442.05587
267,496,55.50505,3333330.02352
402,851,85.93953,13430625.37292
574,109,25.83208,773633.70497
584,189,42.80977,2205679.26955
206,475,44.73875,2009756.16339
102,763,24.59011,927140.68137
227,580,50.12815,3048016.67508
429,269,53.74963,2790820.93749
669,952,129.04242,36795189.06051
819,807,135.48884,39800144.19924
730,711,120.05192,27694803.90138
261,444,53.08513,2776675.63036
834,449,93.33761,15849597.06476
874,506,103.32578,20641361.56597
461,993,98.88397,20699438.13343
645,932,125.04223,33673752.96280
198,781,45.96220,3359565.99764
322,427,60.60286,3721121.19119
792,822,134.43022,38899963.34017
953,729,136.48601,42325920.33370
247,204,37.07397,832132.52560
984, 27,6.70298,88441.09016
308,415,58.30186,3329732.21115
559,688,102.26162,17525726.86213
981,279,64.08298,8243404.08575
399,474,71.94882,6058802.29536
228,219,37.22701,826233.16674
228,774,52.18264,4320206.04176
 54,815,13.26882,287310.25275
586,632,101.28295,16677217.89771
538,245,52.74327,3182605.35268
896,216,50.35011,4616998.83155
613,116,27.49676,936045.01084
534,812,105.20538,20480100.39498
 54,933,13.29889,330310.28989
730,648,114.22489,24035830.17805
543, 61,14.79727,238587.25484
721, 28,6.93061,69292.79073
163,239,31.74933,554426.43748
378,309,56.38997,2934618.40307
 42,528,10.28267,111841.40789
675,436,86.36525,11420270.47691
705,631,110.82204,21927759.42690
126,160,23.33280,209792.59251
220,789,50.62921,4134559.59662
352,771,75.74231,9408888.63916
862,513,103.99923,20744880.00065
168, 65,14.37819,72562.30868
706,248,55.60581,4524096.42764
618,925,121.16218,31073810.99442
 81,451,19.25807,337476.61922
104,450,24.32252,540373.12905
917,573,114.60705,27098962.42582
228,332,44.31153,1503097.30982
538,101,23.95238,623282.23086
320,269,48.53415,1860266.70524
677,504,95.29818,14527318.53146
129,794,30.83244,1520405.37128
128,513,29.75294,924176.32141
735,766,125.00323,31282500.01663
 13,628,3.23288,13129.54648
648,560,99.86838,16128021.04351
802,722,126.47605,32571347.37068
 81,924,19.78651,724960.68649
548,501,87.15369,10639950.91395
926,719,133.86502,39765602.62571
403,340,61.25229,3736785.94215
 10,271,2.47622,3325.29361
511,534,87.01993,10554840.42162
147,  7,1.72812,879.06809
470,815,96.07114,16626631.19536
530, 87,20.78323,461206.15985
117,889,28.22354,1422847.72620
390,433,68.30289,5129860.01578
886,679,127.03789,34112202.31714
268,406,52.73912,2575848.51878
101,177,20.70027,167292.43211
105,918,25.45595,1193862.36301
224,914,52.14526,5054434.87909
594,182,41.48041,2099443.89867
141,652,33.13610,1450372.06386
983,264,60.97041,7457983.53450
436, 76,18.09889,288007.92465
204,663,46.47309,2942055.84365
373,424,66.00978,4644552.07977
362,394,62.83071,3984645.65255
710,142,33.54559,1615540.21945
838,870,142.25832,46099562.18340
559,946,113.53966,27093360.60354
676,710,115.39568,24619417.56057
231,579,50.86157,3138202.29519
175,176,29.24920,400395.93747
420,503,75.98913,7149168.10704
549,937,111.75841,25953295.05552
850,241,55.37167,5331909.94553
978,582,117.98935,30294376.19012
113,237,24.11267,294845.25389
280,198,38.11184,945750.27758
415,537,77.40236,7697309.26218
679,521,97.43242,15383945.59956
389,928,84.97265,14110171.19941
497,116,27.10855,741592.65256
392, 58,13.92333,152884.28233
410,389,66.51418,4715648.16529
262,106,23.28770,298117.97326
439,147,33.16044,997048.99107
837,694,125.92444,32579828.82988
933,919,154.32002,58808939.91668
107,262,23.47226,303150.34252
418, 53,12.80290,137622.53552
717,865,130.11373,35943070.77038
687,714,116.68487,25440618.98841
684,914,129.09096,36049837.65592
 82,941,20.03370,756842.06050
123,689,29.25371,1189517.08115
976,295,67.33402,9082847.70472
502, 92,21.84847,483669.19820
 88,301,20.15612,250573.13046
602,888,117.48430,28158992.88229
402, 82,19.34671,304392.72844
129,506,29.93063,923224.36019
986,596,120.31813,31869294.31892
 28,628,6.92010,60179.81880
873,461,96.26039,17586246.72906
559,529,90.56318,11904736.36888
404,411,67.90896,5011606.72424
837,725,129.16657,34880740.74073
995,887,156.06045,61265106.93018
579,584,96.91385,14564558.60328
  7,681,1.74537,4149.71517
978, 77,18.85599,696579.01090
671,455,88.78937,12153981.53884
286,150,31.36933,611139.91263
948,273,62.62674,7612777.20096
913,642,123.80830,32489299.60252
 67,506,16.15828,265463.91628
589,111,26.31797,823867.84371
336,772,72.92678,8682627.16558
492,  6,1.49524,2200.52068
514,585,91.01161,12175436.15279
772,350,75.40986,9330225.34927
502,672,94.80305,14286526.86016
636,540,97.02513,14834404.75762
352,212,42.83987,1441203.67639
241,316,45.17077,1535686.75163
656,696,112.51872,22837612.98025
